Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
High income,HIC,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,9291565073.98181,10891180619.9238,12433621668.1274,15603064874.3585,18942269014.0715,19632926468.0888,15678161354.8595,22205427922.23,27301974576.4326,34559087071.4971,45895788221.4678,57346557475.188,54587815457.8235,43860443591.8725,50666564853.8545,33470248641.7877,72278220409.3725,128330091536.137,147615929197.978,179526676077.427,218661866635.803,145537858233.795,144189916013.565,172753188665.939,198227846437.578,271751990424.829,304971775568.68,384594428437.242,648788764603.729,1047618221499.54,1423979182065.49,735544858881.002,602783865229.092,578288710690.27,798861577986.054,1260827522291.91,1810032490986.34,2578159610219.03,1829365910116.6,987060396885.297,1280389278953.85,1631061326225.73,1374411884522.91,1426310565817.12,1288978043609.3,2147911066364.76,2187667759201.99,1650164594147.59,288813693569.904,1286801793565.69,675600569256.123,1511946211151.09,1218779280292.42,..
Honduras,HND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,8400000,7400000,3000000,6599999.9,-1149999.99976168,7000000,5250000,8900000,13150000,28200000,5800000,-3600000,13800000,21000000,20450000,27500000,30000000,38650000,48300000,51000000,43500000,52100000,47600000,26700000,34800000,50000000,90900000,121500000,99000000,237300000,349978000,309826700,287314900,390166272.910663,592120092.945897,601059572.180071,717591908.177828,966926354.327952,1200798087.04613,494497450.521718,607376418.071288,1042571020.7703,1081346795.58822,1069029263.15978,1704790710.03868,1316679827.33597,1147030449.99683,949955941.517779,1442587576.2096,955095297.980428,236016866.159636,800315953.182343,758999597.634192,..
"Hong Kong SAR, China",HKG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,49822078,59483393.5,110442097,271274584.7,153444422.9,377359617.8,255361829.7,273737273,477382649.1,648065889.9,710201409.3,2062785581.9,1236856767.6,1144127082.4,1287739696,-267220620.9,1888313589.9,6249829233.7,4978949480.4,2041094981.4,3275072298.1,1020860062.6,3887467095.7,6929625914.8,7827938820.5,6213362503.5,10460173705.3,11368147926.4,13939361335.8582,25355410569.0154,70495739305.8458,31291719644.6149,6747855220.81764,18567357065.233,22194238604.966,40963127270.6954,44901793968.8764,62121011424.0703,67035187587.6672,54275707074.2543,82709142976.2978,96135081265.0953,74887135901.3219,76857453417.8737,129847455921.475,181047431127.246,133259182324.997,125716724339.795,97036255478.9459,58299361094.7774,117452284750.967,137191251277.419,122407913138.418,..
Hungary,HUN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,553808999.9,1462141210.2598,1479165393.92739,2349715110.57644,1144083870.1178,4804151332.43276,3288936448.51943,4164123319.5914,3261654749.79361,3384965975.25316,2747712559.81382,4058819560.69834,3643428379.51995,4157510420.33352,4538099567.15789,27489690204.0215,18678720024.6862,70631297038.9164,75107772943.2045,-2792080129.12211,-20770280260.78,10740966550.9834,10815928328.3018,-3586600504.51759,13060104658.7999,-5266437314.96472,69681210262.328,-12133055292.6452,-64364899191.4145,98463475064.6401,167562393060.982,31686491875.6975,-10235193158.6733,..
IBRD only,IBD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,2003430759.75986,2233994456.45561,1783965900.96308,3688215888.33103,4294451533.83434,4995698725.17832,4125104894.01259,3937448949.37559,5522943365.22003,6078061040.55542,7261993819.80741,9966472648.15224,7809742841.59539,7367303695.00777,7676085710.83043,9198219327.61435,8627491774.55923,9301196836.57913,15847910724.689,15128852040.2953,15824726079.3119,21071235949.2253,32985184405.816,50846090906.6176,70914203735.624,81066550965.1848,100769201428.629,132256469703.883,133379578371.751,142192658925.341,129698850788.56,147699230168.509,135244277694.824,141582003002.671,189815774469.127,265238427804.244,342339154368.557,478472832841.644,554827257119.405,384512850341.42,563755466006.238,656580995171.162,610739106521.181,675619017120.577,581157481179.095,546393351324.621,491944748323.942,483747582990.991,550704512419.612,513502854253.088,496569587679.915,698581522908.171,475557595774.918,..
Iceland,ISL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,4500000,19800000,2799999.9,-1500000,13199999.9,42399999.9,4500000,4200000,8100000,3100000,22300000,53000000,35800000,-23400000,13700000,23600000,8500000,2400000,-14800000,-27400000,-4803187.83042594,-18436099.0772239,8648079.00261276,-1174.96544936253,2394198.45398918,-9309003.2336037,83381484.1223949,148012830.038199,154082591.966407,66639312.8881673,155160734.106047,163445772.282048,91905493.0570106,335355205.005774,755317000.399857,3093680067.57088,3876554983.10737,6872169567.20657,1203686964.67602,63588140.7547116,256982201.688046,1106958185.40328,1024164328.08698,472607545.774898,766775539.042214,1145767444.82301,-1066286957.46864,-6999892980.93709,-622718386.260034,-556463720.652854,-878458464.586911,465792586.906982,1220864330.61939,..
IDA & IBRD total,IBT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,3174880758.65986,3212544456.25629,2422790884.80219,4570655886.72635,5313032698.10417,6381525393.99726,5050499284.90478,5082941049.29258,6905481756.5075,8041869818.72929,8498148083.33721,13294573314.6267,11270310471.9525,9598994464.57095,9394034343.87815,11747543358.9003,10007328860.3114,11805709812.5161,18982919086.8067,22266882425.6846,21921316934.9198,30986119441.5801,44295531912.5813,64731226486.677,86698741076.1079,98132523058.2195,123877882734.715,163960867473.929,163006908678.386,176486491329.567,163486609434.097,174242146373.959,159437132906.485,173390071390.05,239452551030.63,321069763056.246,425592489805.299,589901373397.801,672474784690.082,461445610999.397,666321587892.646,787140687031.66,731101217341.383,775275400138.093,704683575716.538,656412554956.299,593341222440.32,575471888203.636,648763425288.299,613474939205.396,572031765973.465,844716385896.481,621697126438.113,..
IDA blend,IDB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,417619999.9,420630000,515769999.5,615749999.7,472459999.9,595518747.468244,472620978.369192,569046574.051516,397335618.587455,611564754.215481,-280995598.859339,1000268729.29711,806209525.213584,871070052.037905,463058227.271303,1108516178.70165,401239865.972666,1068507456.31199,887134523.395235,2353070649.71108,991235562.286556,1189955554.1533,1537794812.51003,2368176009.33585,2653898683.42235,1917880155.87373,2029666370.59867,1824847566.14139,1665692209.19149,2140110942.21606,2075247324.13964,1853740755.80799,3813931501.08317,3844223907.31373,4087590931.42035,9116219485.13103,12363652798.0069,15993310564.9702,17827297697.9527,14975786662.7411,12813251606.1621,15251913358.225,11692745082.9829,12369548840.4172,13209766516.0904,12583485250.9126,10087310346.5578,14350014238.8633,10979686647.6672,8129908392.38649,5474990305.02454,9620984482.25038,6315046116.11093,..
IDA only,IDX,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,265749999.1,90829999.70068,173864984.33911,311939998.895316,274988909.874427,427938738.991013,551024131.945772,429126706.133648,660251397.404866,629373361.342873,638124912.964886,579197088.885581,384919109.68765,-41127608.7439175,189150970.228549,284929677.49306,109940366.901508,475961688.3754,641088765.570963,1138581068.26758,955053599.924545,979896154.400549,1650876775.2715,2310560152.45548,1889899068.87839,1804881771.33176,2350464340.53882,3950850783.97555,4168257401.99494,4498524302.5825,4502638176.93364,5128843952.82546,5390383795.67062,7206480372.7287,9344597797.37338,9664755102.86107,13377247817.5763,20014592422.1096,25972970496.4045,20874544677.4093,28659523540.4852,35820748197.484,39096094086.1287,40851379181.895,34833246865.0244,37483191230.4014,34976253178.415,37107751782.9402,34820427014.825,34841899219.0476,31344622968.358,42515934476.6543,38597077054.6008,..
IDA total,IDA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,683369999,511459999.70068,689634983.83911,927689998.595316,747448909.774427,1023457486.45926,1023645110.31496,998173280.185164,1057587015.99232,1240938115.55836,357129314.105546,1579465818.18269,1191128634.90123,829942443.293988,652209197.499853,1393445856.19471,511180232.874175,1544469144.68739,1528223288.9662,3491651717.97866,1946289162.2111,2169851708.55385,3188671587.78153,4678736161.79133,4543797752.30074,3722761927.20549,4380130711.13749,5775698350.11695,5833949611.18643,6638635244.79856,6577885501.07328,6982584708.63345,9204315296.7538,11050704280.0424,13432188728.7937,18780974587.9921,25740900615.5832,36007902987.0798,43800268194.3572,35850331340.1504,41472775146.6472,51072661555.7091,50788839169.1116,53220928022.3122,48043013381.1148,50066676481.314,45063563524.9728,51457766021.8035,45800113662.4922,42971807611.4341,36819613273.3825,52136918958.9047,44912123170.7117,..
India,IND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,45460000,47659999.9,17789999.9,37909999.9,56969999.9,-10326246.7051639,-7706430.54257424,-36060000,18090000,48570000,79159999.9,91920000,72079999.9,5639999.9,19239999.9,106090000,117730000,212319999.9,91250000,252099999.9,236690000,73537638.3885329,276512438.973893,550370024.929383,973271468.722874,2143628110.28392,2426057021.91092,3577330042.34586,2634651657.77141,2168591054.37924,3584217307.18756,5128093561.62688,5208967106.27894,3681984671.43429,5429250989.85717,7269407225.61438,20029119267.1396,25227740886.6819,43406277075.8109,35581372929.6642,27396885033.7839,36498654597.8589,23995685014.2142,28153031270.3203,34576643694.1383,44009492129.5319,44458571545.798,39966091358.7384,42117450737.2644,50610647353.5912,64362364994.3754,44727277562.881,49940258404.266,..
Indonesia,IDN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,145380000,299069999.9,253520000,581000000,182120000,1292059999.9,747590000,235000000,417709999.9,226000000,180000000,133000000,225000000,292000000,222000000,310000000,258000000,385000000,576000000,682000000,1093000000,1482000000,1777000000,2004000000,2109000000,4346000000,6194000000,4677000000,-240800000,-1865620963.49087,-4550355285.71428,-2977391857.14286,145085548.722222,-596923827.786241,1896082770,8336257207.64285,4914201435.40071,6928480000,9318453649.82664,4877369178.43651,15292009410.5099,20564938226.7185,21200778607.8727,23281742361.5305,25120732059.5134,19779127976.9576,4541713739.23769,20510310832.4469,18909826043.5105,24993551748.0098,19175077747.8077,21213080329.8583,24702029705.0926,..
"Iran, Islamic Rep.",IRN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,28000000,65200000,91200000,561500000,323500000,494399999.9,-101590000,345690000,909059999.9,164349999.9,80909999.9,28219999.9,-136090000,-78519999.9,42689999.9,-38149999.9,-112440000,-307630000,60539999.9,-19420000,-361949999.9,22590000,8500000,207550000,2000000,17000000,26000000,53000000,24000000,35000000,39000000,408118760,3519380360,2877481499.9,3037299840,2889191670,2317538500,2017791750,1979988010,2983421910,3648972409.9,4276718689.9,4661734400,3049945000,2105494000,2050000000,3372000000,5019000000,2373000000,1508000000,1342000000,1425000000,1500000000,..
Iraq,IRQ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,-910000,-180000,-90000,-6549999.9,-8830000,-44920000,1350000,4389999.9,300000,1610000,1530000,4120000,2419999.9,-234000,-2749000,-1159999.9,918000,-4291000,-3383000,390000,-6809999.9,7685999.9,93000,803000,-30000,..,-1994000,1153000,7387999.9,..,-32000,-6655999.9,-326000,1000000000,300000000,515300000,383000000,971800000,1855700000,1598300000,1396200000,2082000000,3400000000,-2335300000,-10176400000,-7574200000,-6255900000,-5032400000,-4885100000,-3075600000,-2859100000,-2637300000,-2088200000,..
Ireland,IRL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,32000000,25000000,31000000,52000000,51200000,158169999.9,172680000,136240000,375259999.9,336680000,286449999.9,203449999.9,242009999.9,169650000,121360000,163660000,250293354.5,322476620.4,257438683.1,192759335.7,621910999.9,1361667999.9,1458175000,1077890000,856979000,1442925000,2617483000,2028797815.385,8862216910.747,18210641713.908,25779436152.57,9650920349.706,29323796527.222,22781292817.206,-10607612697.348,47001243614.0878,22070063905.1011,59934755383.4486,23287686335.9747,53974309647.0524,37748455283.6937,23699352432.596,58090414122.9928,70811172728.4365,97382259038.5326,237060224928.863,102915688042.276,58300808407.7828,67361732390.1091,-46633226471.2905,28197148646.511,91830318557.2168,-1898868608.45574,..
Isle of Man,IMN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,49000000,57000000,114000000,149000000,84000000,45000000,47000000,81000000,39000000,11000000,51000000,114400000,21300000,78500000,89500000,112300000,143400000,224100000,267200000,160400000,151000000,345600000,588500000,604900000,441600000,1350300000,1397100000,1633800000,1737400000,4150000000,8047500000,1771300000,1582500000,3322000000,2946900000,4818400000,14395500000,8798100000,10274200000,4606900000,6984700000,8653000000,9017300000,11842200000,6048900000,11336200000,11988000000,16892500000,21514500000,17362500000,20968700000,18949900000,23031200000,..
